metric,group,n,mean,median,std,p_value,statistic
total_changes,best_hb,5,9.2,9.0,4.381780460041329,,
total_changes,other,15,4.4,3.0,4.171330722922842,0.05200455376611944,60.0
bold_pct,best_hb,5,43.66161616161616,37.5,13.488371083049026,,
bold_pct,other,15,53.978835978835974,50.0,33.52601779443242,0.7920483514740924,34.0
cautious_pct,best_hb,5,29.202020202020197,25.0,10.395480444504441,,
cautious_pct,other,15,31.52910052910053,33.33333333333333,29.44562812264461,0.8255073229252492,34.5
standard_pct,best_hb,5,27.136363636363637,33.33333333333333,18.328981451930094,,
standard_pct,other,15,14.492063492063492,0.0,19.034618579303384,0.20722648393179,51.5
avg_slider_value,best_hb,5,1.1445959595959594,1.1333333333333333,0.15622188554329308,,
avg_slider_value,other,15,1.2244973544973545,1.0,0.6016445017549645,1.0,38.0
style_variability,best_hb,5,0.9019319985029222,0.8345229603962802,0.15818481507323737,,
style_variability,other,10,0.9591121366996045,0.8970435671452068,0.2459489413439836,0.8056436250163956,22.5
avg_playability,best_hb,5,70.98428103536557,72.13793103448276,2.1037720655695678,,
avg_playability,other,15,69.49637699019918,68.80952380952381,4.738901954519554,0.6115841073271414,44.0
max_playability,best_hb,5,89.4,95.0,8.763560920082659,,
max_playability,other,15,79.0,80.0,9.613977919080709,0.03926993205897482,61.5
combined_playability,best_hb,5,5898.6,6276.0,2378.8128972241593,,
combined_playability,other,15,1288.4,1348.0,390.5907247819823,0.00012899896800825592,75.0
avg_novelty,best_hb,5,1.8629869446832483,1.8597606197689538,0.0681040413385669,,
avg_novelty,other,15,1.835754896384119,1.8292804462333936,0.10642481597673353,0.7354231166150671,42.0
total_data_count,best_hb,5,83.8,87.0,35.55559027776082,,
total_data_count,other,15,18.533333333333335,18.0,5.488516149544385,0.0012030438079392647,75.0
